gene,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,t_depth,t_ref_count,t_alt_count,label
ABCC3,0,0.015414258,0,0,0.018779343,0.085271318,0.06122449,0.045454545,0.014957265,0.026107426,0.01589404,0,0,0.042553191,0.02970297,0,0.03219697,0.078947368,0,0.028782338,0,0.082805774,0.545142973,0.263829292,0.937129781,0.176814462,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.009980243,0.016017662,0.727272727,0.19697074,0.19715739,0.383743303,0.048898072,0.025493421,0.693895548,0.620731532,0.357142857,0.181766221,0.93472063,0.908631572,0.108646189,0.133397038,0.620515947,1.48E-05,0.004036327,0.054909441,0.118108151,0.098799711,0.110934854,1
ABCC4,0,0.038535645,0,0,0.046948357,0.007751938,0.030612245,0,0,0.021934517,0.022516556,0,0,0.024452207,0.03960396,0,0.049242424,0.013157895,0,0.022145469,0,0.068118511,0.524623148,0.125652001,0.801349279,0.615451718,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.027390777,0.044345257,0.545454545,0.387007171,0.388091814,0.0484947,0.324380165,0.057154605,0.265138648,0.682122368,0.071428571,0.169000674,0.960376249,0.850870397,0.100827548,0.116520499,0.266986345,0.000285868,0.00554995,0.080625846,0.114110932,0.08648203,0.13937231,1
ABCC5,0,0.078998073,0,0.007462687,0.046948357,0.007751938,0.020408163,0,0.027777778,0.025037449,0.026490066,0,0,0.038742458,0.01320132,0,0.053030303,0.013157895,0,0.030746309,0,0.088376804,0.600972313,0.056922566,0.930148832,0.432542163,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.007999434,0.005551826,0.090909091,0.742985116,0.743305259,0.345027534,0.172176309,0.057976974,0.369239311,0.749320983,0.128571429,0.2431171,0.987742326,0.884976322,0.134785786,0.194409607,0.428174743,0.000136852,0.003027245,0.056350228,0.110498455,0.093212394,0.102398317,1
ABCC6,0,0.015414258,0,0.007462687,0.016431925,0.023255814,0,0,0.014957265,0.023753477,0.035761589,0,0,0.041282947,0.01320132,0,0.013257576,0.019736842,0,0.02796966,0,0.079513801,0.349517133,0.25952187,0.844356002,0.160413056,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.681818182,0.065576543,0.065840183,0.093375814,0.04338843,0.087171053,0.496701179,0.642405972,0.1,0.152615035,0.929304476,0.874170512,0.072815048,0.062891428,0.605083255,6.60E-06,0.002018163,0.052296147,0.078664463,0.066548943,0.078629791,1
ABCC8,0,0.026974952,0,0.02238806,0.018779343,0.015503876,0,0,0.012108262,0.034132249,0.02384106,0,0,0.062559543,0.0330033,0,0.015151515,0.013157895,0,0.039143979,0,0.101038238,0.182756141,0.351621994,0.855109761,0.616774887,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.051847017,0.062645283,0.454545455,0.070315367,0.070619636,0.10999757,0.325757576,0.044819079,0.452918313,0.599032733,0.085714286,0.162236833,0.948403669,0.816599918,0.101626374,0.133726689,0.603147072,6.98E-07,0.000504541,0.047169499,0.129094167,0.105311269,0.128417471,1
ABCC9,0,0.02504817,0.008097166,0,0.037558685,0.069767442,0.020408163,0,0.027777778,0.046115985,0.029139073,0,0,0.046681486,0.056105611,0.8,0.035984848,0.059210526,0,0.045645402,0,0.122815903,0.417394729,0.132522231,0.865186022,0.813551998,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.5,0.088671146,0.08919802,0.12824762,0.591597796,0.107730263,0.112372212,0.438064622,0.157142857,0.165952166,0.955530177,0.886452316,0.120933773,0.168040045,0.200353038,5.49E-08,0.000504541,0.086611353,0.137070036,0.113087185,0.130637693,1
ABCG1,0,0.015414258,0,0.02238806,0.011737089,0.007751938,0,0,0.001424501,0.013588701,0.010596026,0,0,0.025087329,0.00990099,0,0.011363636,0.006578947,0,0.015508601,0,0.047606989,0.564365991,0.049611783,0.825490849,0.51659249,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.075880184,0.006317887,0.909090909,0.176362821,0.176715448,0.070051797,0.233471074,0.043585526,0.542313094,0.913686345,0.128571429,0.145851194,0.892246254,0.871844314,0.114004767,0.151625056,0.575620522,0,0,0.046497097,0.131349317,0.110908481,0.117156229,1
ABCG2,0,0.01734104,0,0,0.021126761,0.046511628,0,0,0.000712251,0.015407661,0.026490066,0,0,0.015878057,0.01650165,0,0.022727273,0.039473684,0,0.015305431,0,0.048619904,0.385986364,0.140055647,0.851864099,0.20209655,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.028226573,0.075033146,0.136363636,0.36005289,0.360277216,0.104690975,0.05785124,0.043174342,0.21422739,0.488368596,0.157142857,0.169381742,0.978905359,0.882250346,0.095030244,0.099281433,0.224510265,0,0,0.091826683,0.118001492,0.099185452,0.108860116,1
ABHD12,0,0.01734104,0,0.104477612,0.002347418,0,0,0,0.011396011,0.00545688,0.005298013,0,0,0.006351223,0.01650165,0,0.001893939,0.006578947,0,0.007991331,0,0.026842239,0.652601855,0.019510195,0.874273921,0.403061118,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.863636364,0.102126921,0.10247815,0.147291051,0.153581267,0.115953947,0.500881863,0.508774305,0.114285714,0.168810122,0.879418498,0.512203113,0.067238555,0.036785546,0.465436337,1.49E-05,0.001009082,0.076459768,0.091961783,0.081441631,0.075331403,1
ABHD16A,0,0.023121387,0,0.037313433,0.014084507,0.007751938,0,0,0.00997151,0.008238819,0.006622517,0,0,0.009209273,0.02970297,0,0.017045455,0.013157895,0,0.009955303,0,0.032666498,0.404377259,0.092515294,0.967469108,0.170743337,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.227272727,0.127942764,0.12796997,0.609214958,0.046831956,0.0390625,0.583989287,0.629772664,0.628571429,0.15794988,0.946978304,0.891893457,0.087514208,0.094172326,0.603315858,0.000863685,0.008577195,0.082066818,0.077985861,0.06811952,0.070679235,1
ABL1,0.115740741,0,0,0,0.028169014,0.015503876,0.010204082,0,0.000712251,0.017119623,0.021192053,0,0,0.031438552,0.00990099,0,0.03219697,0.019736842,0,0.020249221,0,0.061028108,0.669746064,0.015515468,0.862091082,0.205846599,0.461830941,0.072475316,0.182299194,0.030495652,0.735614181,0.057720649,0.011130996,0.007368096,0.363636364,0.540449821,0.541088915,0.122341185,0.05922865,0.043174342,0.431579515,0.673674624,0.1,0.15995046,0.907924741,0.875206991,0.102013698,0.13178196,0.535676681,0.018892968,0.090312815,0.048437263,0.098232259,0.083372413,0.091799431,1
ABT1,0,0.007707129,0,0.014925373,0,0,0.020408163,0,0,0.006740852,0.010596026,0,0,0.004763417,0.00330033,0.2,0.003787879,0,0,0.006365976,0,0.021777665,0.570749753,0.011284057,0.848663734,0.544511388,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.00937928,0.00137475,0.227272727,0.10747596,0.107450529,0.099709168,0.256887052,0.139391447,0.306284091,0.648555958,0.7,0.14670857,0.913340895,0.953683939,0.080657831,0.067077593,0.624601065,0.000194633,0.006559031,0.120424135,0.083271137,0.069308208,0.086131743,0
AC002310.13,0,0,0,0,0,0,0,0,0,0.000106998,0.00397351,0,0,0,0,0,0,0,0,0.000270893,0,0.000506457,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.107043676,0.028347621,0.030147207,0.022065211,0
AC002456.2,0,0,0.024291498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406339,0,0.001266143,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.035906987,0.03467481,0.03329137,0
AC002472.1,0.115740741,0,0.408906883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007575758,0.013157895,0,0.008126778,0,0.026335781,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.076173608,0.06383867,0.078896492,0
AC002511.1,0,0,0,0,0,0,0,0,0,0,0,0,0.015475313,0,0,0,0,0,0,0.001422186,0,0.00379843,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.036236959,0.035148078,0.032738358,0
AC002519.8,0.00462963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-05,0,0,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.001259894,0.00662576,0.004645307,0
AC003002.6,0,0,0,0.044776119,0,0.007751938,0,0,0.001424501,0.002888936,0.001324503,0,0,0.003175611,0.00330033,0.2,0,0.006578947,0,0.003250711,0,0.01139529,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.072984324,0.196234962,0.169511275,0.151114697,0
AC003006.7,0,0,0,0.02238806,0,0,0,0,0,0.002460946,0.001324503,0,0,0.002222928,0.00660066,0,0,0,0,0.002438033,0,0.007343631,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.086972987,0.150802346,0.131779001,0.115874614,0
AC003101.1,0,0,0,0,0,0,0,0,0.003561254,0.000106998,0,0,0,0.000635122,0,0,0.001893939,0,0,0.000474062,0,0.001772601,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.008920306,0.076696064,0.071061274,0.05574369,0
AC003958.2,0,0,0,0,0,0,0,0,0,0,0,0,0.04642594,0,0,0,0.013257576,0,0,0.003792496,0,0.014687263,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0,0.032517271,0.0297423,0.037826075,0
AC004076.7,0,0,0,0,0,0,0,0,0,0,0.001324503,0,0,0,0,0,0,0,0,6.77E-05,0,0,0.404377259,0.092515294,0.850969529,0.44359759,0.538978858,0.092894252,0.254778243,0.074768665,0.774787977,0.057587635,0.035843214,0.031996736,0.423561428,0.298773602,0.29898637,0.157666016,0.219308349,0.069490132,0.374240442,0.629581616,0.205631135,0.155221136,0.887927581,0.877049263,0.107888294,0.14780987,0.434680744,0.001541506,0.01206546,0.026760919,0.060474925,0.043730015,0.09290615,0
